ddinter_drug_name
Abametapir (topical)
Abarelix
Abatacept
Abciximab
Abemaciclib
Abiraterone
Acalabrutinib
Acarbose
Acebutolol
Acetaminophen
Acetazolamide
Acetohexamide
Acetylsalicylic acid
Acrivastine
Activated charcoal
Adalimumab
Adenosine
Afatinib
Albendazole
Albiglutide
Aldesleukin
Alefacept
Alemtuzumab
Alendronic acid
Alfentanil
Alfuzosin
Alimemazine
Aliskiren
Allopurinol
Almotriptan
Alogliptin
Alosetron
Alpelisib
Alprazolam
Alprostadil
Alteplase
Aluminum hydroxide
Alvimopan
Ambrisentan
Amifostine
Amikacin
Amikacin (liposome)
Amiloride
Aminobenzoic acid
Aminocaproic acid
Aminoglutethimide
Aminolevulinic acid (topical)
Aminophylline
Aminosalicylic acid
Amiodarone
Amisulpride
Amitriptyline
Amlodipine
Ammonium chloride
Amobarbital
Amoxapine
Amoxicillin
Amphetamine
Amphotericin B
Amphotericin B (cholesteryl sulfate)
Amphotericin B (lipid complex)
Amphotericin B (liposomal)
Ampicillin
Amprenavir
Amyl Nitrite
Anagrelide
Anakinra
Anastrozole
Anisindione
Anistreplase
Anti-inhibitor coagulant complex
"Antihemophilic factor, human recombinant"
Antilymphocyte immunoglobulin (horse)
Antithrombin Alfa
Antithrombin III human
Antithymocyte immunoglobulin (rabbit)
Apalutamide
Apixaban
Apomorphine
Apraclonidine
Apremilast
Aprepitant
Aprotinin
Ardeparin
Arformoterol
Argatroban
Aripiprazole
Armodafinil
Arsenic trioxide
Artemether
Artesunate
Articaine
Ascorbic acid
Asenapine
Asparaginase Erwinia chrysanthemi
Asparaginase Escherichia coli
Astemizole
Atazanavir
Atenolol
Atomoxetine
Atorvastatin
Atracurium
Atropine
Attapulgite
Avanafil
Avapritinib
Avatrombopag
Axitinib
Azatadine
Azathioprine
Azilsartan medoxomil
Azithromycin
Aztreonam
Bacampicillin
Bacitracin
Baloxavir marboxil
Balsalazide
Baricitinib
Basiliximab
Bedaquiline
Belatacept
Belimumab
Belinostat
Belladonna
Bempedoic acid
Benazepril
Bendamustine
Bendroflumethiazide
Benzatropine
Benzhydrocodone
Benzocaine (topical)
Benzphetamine
Benzthiazide
Benzylpenicillin
Benzylpenicillin (potassium)
Benzylpenicillin (sodium)
Bepridil
Berotralstat
Betamethasone
Betaxolol
Betaxolol (ophthalmic)
Betrixaban
Bexarotene
Bicalutamide
Bictegravir
Binimetinib
Biperiden
Bisacodyl
Bismuth subsalicylate
Bisoprolol
Bivalirudin
Blinatumomab
Boceprevir
Bortezomib
Bosentan
Bosutinib
Botulinum Toxin Type B
Botulinum toxin type A
Brentuximab vedotin
Brexpiprazole
Brigatinib
Brimonidine (ophthalmic)
Brimonidine (topical)
Brinzolamide (ophthalmic)
Brivaracetam
Brodalumab
Bromfenac
Bromfenac (ophthalmic)
Bromocriptine
Bromotheophylline
Brompheniramine
Budesonide
Budesonide (nasal)
Bumetanide
Bupivacaine
Buprenorphine
Bupropion
Buspirone
Butabarbital
Butalbital
Butorphanol
Cabazitaxel
Cabotegravir
Cabozantinib
Caffeine
Calaspargase pegol
Calcifediol
Calcipotriol (topical)
Calcitriol
Calcitriol (topical)
Calcium Phosphate
Calcium acetate
Calcium carbonate
Calcium chloride
Calcium citrate
Calcium glubionate anhydrous
Calcium gluconate
Calcium glycerophosphate
Calcium lactate
Canagliflozin
Canakinumab
Cangrelor
Cannabidiol
Capecitabine
Caplacizumab
Capmatinib
Capreomycin
Capsicum
Captopril
Carbamazepine
Carbenicillin
Carbinoxamine
Carboplatin
Carfilzomib
Cariprazine
Carteolol
Carteolol (ophthalmic)
Carvedilol
Castor oil
Cefaclor
Cefadroxil
Cefalotin
Cefamandole
Cefapirin
Cefazolin
Cefdinir
Cefditoren
Cefepime
Cefiderocol
Cefixime
Cefmetazole
Cefonicid
Cefoperazone
Cefotaxime
Cefotetan
Cefoxitin
Cefpodoxime
Cefprozil
Cefradine
Ceftaroline fosamil
Ceftazidime
Ceftibuten
Ceftizoxime
Ceftolozane
Ceftriaxone
Cefuroxime
Celecoxib
Cenobamate
Cephalexin
Ceritinib
Cerivastatin
Certolizumab pegol
Cetirizine
Cetylpyridinium (topical)
Cevimeline
Chamomile
Chenodeoxycholic acid
Chloral hydrate
Chloramphenicol
Chlorcyclizine
Chlordiazepoxide
Chloroprocaine
Chloroquine
Chlorothiazide
Chlorpheniramine
Chlorpromazine
Chlorpropamide
Chlorthalidone
Cholecalciferol
Cholestyramine
Choline salicylate
Chondroitin sulfate
Chromium picolinate
Ciclesonide
Cidofovir
Cilostazol
Cimetidine
Cinacalcet
Cinchocaine (topical)
Cinoxacin
Ciprofloxacin
Cisapride
Cisatracurium
Cisplatin
Citalopram
Citrus bioflavonoids
Cladribine
Clarithromycin
Clemastine
Clevidipine
Clidinium
Clobazam
Clofarabine
Clofazimine
Clofibrate
Clomipramine
Clonazepam
Clonidine
Clopidogrel
Clorazepic acid
Clotrimazole
Clove
Cloxacillin
Clozapine
Coagulation factor VIIa Recombinant Human
Coagulation factor X human
Cobicistat
Cobimetinib
Cocaine (nasal)
Cocaine (topical)
Codeine
Coenzyme M
Colchicine
Colesevelam
Colestipol
Colistimethate
Collagenase clostridium histolyticum
Conestat alfa
Conivaptan
Conjugated estrogens
Conjugated estrogens (topical)
Copanlisib
Copper gluconate
Corticotropin
Cranberry
Crizotinib
Cyanocobalamin
Cyclandelate
Cyclizine
Cyclobenzaprine
Cyclophosphamide
Cycloserine
Cyclosporine
Cyproheptadine
Dabrafenib
Daclatasvir
Dactinomycin
Dalfopristin
Dalteparin
Danaparoid
Danazol
Dapagliflozin
Dapsone
Dapsone (topical)
Daptomycin
Darbepoetin alfa
Darifenacin
Darolutamide
Darunavir
Dasatinib
Daunorubicin
Daunorubicin (liposomal)
Deferasirox
Deferiprone
Defibrotide
Deflazacort
Degarelix
Delafloxacin
Delavirdine
Demeclocycline
Deoxycholic acid
Deserpidine
Desflurane
Desipramine
Desirudin
Desloratadine
Desmopressin
Desvenlafaxine
Deutetrabenazine
Dexamethasone
Dexbrompheniramine
Dexfenfluramine
Dexlansoprazole
Dexmethylphenidate
Dextran (-1)
Dextran (high molecular weight)
Dextran (low molecular weight)
Dextroamphetamine
Dextromethorphan
Dextropropoxyphene
Dextrothyroxine
Dezocine
Diatrizoate
Diazepam
Diazoxide
Diclofenac
Diclofenac (ophthalmic)
Diclofenac (topical)
Diclofenamide
Dicloxacillin
Dicoumarol
Dicyclomine
Didanosine
Dienestrol (topical)
Diethylpropion
Diethylstilbestrol
Diflunisal
Digitoxin
Digoxin
Dihydrocodeine
Dihydroergotamine
Dihydrotachysterol
Diltiazem
Dimenhydrinate
Dimercaprol
Dinoprostone (topical)
Diphenhydramine
Dipyridamole
Disopyramide
Disulfiram
Docetaxel
Dofetilide
Dolasetron
Dolutegravir
Donepezil
Doravirine
Dorzolamide (ophthalmic)
Doxacurium
Doxapram
Doxazosin
Doxepin
